LISS_StudyArea,LAT_DMS,LONG_DMS,LAT_DD,LONG_DD,STATION_ID
Little Neck Bay,40° 46.670N,73°45.650W,40.7778,-73.7608,8-403
Little Neck Bay,40°47.330N,73°45.490W,40.7888,-73.7582,8-405
Manhasset Bay,40°49.440N,73°43.050W,40.824,-73.7175,9-409
Manhasset Bay,40°49.200N,73°42.810W,40.82,-73.7135,9-412
Manhasset Bay,40°48.245N,73°42.796W,40.8041,-73.7133,9-413
Upper East River,40°48.080N,73°49.610W,40.8013,-73.8268,A1
Upper East River,40°47.950N,73°47.480W,40.7992,-73.7913,A2M
Mid-LIS Waters,40°50.600N,73°45.540W,40.8433,-73.759,A3
Mid-LIS Waters,40°52.350N,73°44.060W,40.8725,-73.7343,A4
Mid-LIS Waters,40°53.540N,73°41.120W,40.8923,-73.6853,A5
Mid-LIS Waters,40°56.420N,73°40.000W,40.9403,-73.6667,B1S
Mid-LIS Waters,40°56.060N,73°39.120W,40.9343,-73.652,B2
Mid-LIS Waters,40°55.120N,73°38.420W,40.9187,-73.6403,B3M
Mid-LIS Waters,40°54.321N,73°38.157W,40.9054,-73.636,B4
Westchester Shoreline,40°53.300N,73°46.490W,40.8883,-73.7748,DI1
Westchester Shoreline,40°53.580N,73°45.850W,40.893,-73.7642,DI2
Eastchester Bay,40°50.920N,73°48.270W,40.8487,-73.8045,E12
Westchester Shoreline,40°55.240N,73°43.120W,40.9207,-73.7187,HA-3
Westchester Shoreline,40°54.480N,73°42.540W,40.908,-73.709,H-B
Hempstead Harbor,40°51.540N,73°40.300W,40.859,-73.6717,H-C
Mid-LIS Waters,40°53.120N,73°41.420W,40.8853,-73.6903,H-C1
Hempstead Harbor,40°50.410N,73°39.430W,40.8402,-73.6572,H-D